employee_id,department,quarter,revenue,profit,expenses,bonus
1,Finance,Q1,728104,187710,111119,36182
2,Marketing,Q2,3512958,395021,480516,30446
3,Finance,Q4,2610608,859872,99757,20513
4,Marketing,Q1,4635682,878306,93118,48291
5,Marketing,Q3,1671006,74650,58116,29314
6,HR,Q3,2905094,362407,200369,29671
7,Operations,Q4,3180290,247520,424330,38171
8,Finance,Q1,1453143,698498,194751,12118
9,Operations,Q4,929003,409315,261363,35429
10,Sales,Q4,1638317,722065,393132,7068
11,Sales,Q1,2166188,763685,359054,9228
12,Marketing,Q4,269218,586164,80190,42112
13,Sales,Q3,2147064,739048,239728,2711
14,HR,Q3,354852,595849,474652,38772
15,Operations,Q1,1428923,747061,423566,47965
16,Sales,Q2,2908544,387104,211570,12553
17,Sales,Q3,3340877,446864,475125,34756
18,Marketing,Q1,2438286,157800,39006,39422
19,Operations,Q3,1120659,222806,211851,24321
20,Operations,Q1,4039866,973150,400600,6542
21,Operations,Q1,1616314,116635,458220,11348
22,Marketing,Q4,793920,244218,34333,33560
23,Operations,Q3,2665686,812876,72224,20645
24,HR,Q1,3530631,461075,191345,46253
25,Finance,Q2,3553156,460399,185992,2946
26,HR,Q2,213904,254732,445118,16096
27,HR,Q1,782022,716289,375431,16548
28,Operations,Q1,195745,773409,465468,15582
29,Sales,Q2,4020302,732326,45413,28107
30,Sales,Q4,2801596,583791,401567,10506
31,Marketing,Q2,4764663,391721,250768,26560
32,HR,Q1,1669768,52947,74889,39619
33,Marketing,Q3,2644727,613452,353323,20767
34,Marketing,Q2,4950915,514489,154728,39858
35,Sales,Q4,1366227,260877,262476,25581
36,HR,Q2,1858236,355732,120768,34766
37,Operations,Q1,3438320,350350,472144,12512
38,Finance,Q3,372721,950181,387667,33391
39,Sales,Q3,351422,381878,438191,45162
40,Sales,Q1,4793458,64470,115528,40756
41,HR,Q4,4800194,845567,360235,19043
42,Sales,Q2,3482136,85167,295352,2249
43,HR,Q1,4250818,616603,490153,35870
44,Marketing,Q4,119947,401682,88795,20419
45,Operations,Q4,4414576,642912,314592,4765
46,Sales,Q2,3758214,265906,233457,45806
47,Finance,Q4,1030534,205519,306631,44734
48,Sales,Q4,617942,760002,43642,44584
49,Operations,Q4,3168564,774218,75114,42494
50,Sales,Q1,352494,742825,250895,26510
51,Marketing,Q3,1247693,832362,27128,20522
52,Operations,Q3,726147,542886,155054,40366
53,Operations,Q1,1608708,811600,96446,44283
54,Finance,Q2,4878427,668533,403481,49312
55,HR,Q2,2421856,715123,104720,11686
56,Marketing,Q2,4339291,974352,362925,8492
